Symbol	Description
BXUC	Long C Leveraged S&P 500 Tr Etn
BZC	Breeze-Eastern Corporation
BZF	WISDOMTREE DREYFUS
BZM	BlackRock Maryland Municipal Bond Trust
BZQ	PROSHARES
CAK	CAMAC Energy Inc.
CAW	CCA Industries Inc.
CBP	China Botanic Pharmaceutical Inc.
CCA	MFS California Insured Municipal Trust
CCF	Chase Corporation
CCX	WisdomTree Dreyfus Commodity Cu
CDK	Bank of America Corporation Cap
CDM	China Century Dragon Media Inc.
CDY	Cardero Resource Corporation
CEF	Central Fund of Canada Limited
CEP	Constellation Energy Prtnr L
CET	Central Securities Corporation
CEV	Eaton Vance California Municipal Income Trust
CEW	WISDOMTREE DREYFUS
CFD	Nuveen Diversified Commodity Fund
CFP	Cornerstone Progressive Return Fund
CFT	ISHARES LEHMAN CREDI
CFW	Cano Petroleum Inc.
CGC	Capital Gold Corporation
CGL.A	Cagle's Inc.
CGQ	BANK OF AMERICA CORPORATION SPX
CGR	Claude Resources Inc.
CGW	Claymore Exchange-Traded Fund Trust 2
CH	Aberdeen Chile Fund Inc.
CHGS	China GengSheng Minerals Inc.
CHIB	GLOBAL X CHINA TECH
CHIE	GLOBAL X CHINA ENRGY
CHII	GLOBAL X CHINA INDUS
CHIM	GLOBAL X CHINA
CHIQ	GLOBAL X CHINA CONSU
CHIX	GLOBAL X CHINA
CHXX	EMERGING GLOBAL SHARES INDXX CH
CIK	Credit Suisse Asset Management Income Fund Inc.
CIL	China Intelligent Lighting and Electronics Inc.
CIU	ISHARES LEHMAN INTER
CIX	CompX International Inc.
CKK	Citigroup Inc.
CKX	CKX Lands Inc.
CLM	Cornerstone Strategic Value Fund Inc.
CLY	ISHARES 10  YR BOND
CMD	Criticare Systems, Inc.
CMF	iShares Trust
CMFO	China Marine Food Group Limited
CMT	Core Molding Technologies Inc
CNAM	China Armco Metals Inc.
CNDA	IQ CANADA SMALL CAP ETF
CNGL	China Nutrifruit Group Limited
CNR	China Metro-Rural Holdings Limited
CNY	Carver Bancorp, Inc.
CONM	Conmed Healthcare Management Inc.
COPX	GLOBAL X COPPER MINERS ETF
CORN	TEUCRIUM CORN FUND ETV
CORP	Pimco Investment Grade Corporat
COW	IPATH AIG LIVSTK ETN
CPD	Caraco Pharmaceutical Laboratories Ltd.
CPHI	China Pharma Holdings Inc.
CPI	Capital Properties, Inc.
CQP	Cheniere Energy Partners LP
CQQQ	CLAYMORE
CRBA	CRB Global Agriculture Eq
CRBI	CRB Global Ind Metals Eq
CRBQ	THOMSON REUTERS/JEFF
CRC	Chromcraft Revington Inc.
CRF	Cornerstone Strategic Return Fund Inc. (The)
CRM.W	CORMEDIX INC WARRANT
CRMD	CorMedix Inc
CRV	Coast Distribution System Inc. (The)
