Symbol	Description
AEDAUD	UAE Dirham / Australian Dollar
AEDCAD	UAE Dirham / Canadian Dollar
AEDCHF	UAE Dirham / Swiss Franc
AEDDKK	UAE Dirham / Danish Krone
AEDEUR	UAE Dirham / Euro Dollar
AEDGBP	UAE Dirham / Pound Sterling
AEDINR	UAE Dirham / Indian Rupee
AEDJPY	UAE Dirham / Japanese Yen
AEDNZD	UAE Dirham / New Zealand Dollar
AEDPKR	UAE Dirham / Pakistan Rupee
AEDUSD	UAE Dirham / US Dollar
AEDZAR	UAE Dirham / South African Rand
ALLGBP	Lek / Pound Sterling
ARSAUD	Argentine Peso / Australian Dollar
ARSBRL	Argentine Peso / Brazilian Real
ARSCAD	Argentine Peso / Canadian Dollar
ARSCHF	Argentine Peso / Swiss Franc
ARSEUR	Argentine Peso / Euro Dollar
ARSGBP	Argentine Peso / Pound Sterling
ARSHKD	Argentine Peso / Hong Kong Dollar
ARSJPY	Argentine Peso / Japanese Yen
ARSMXN	Argentine Peso / Mexican Peso
ARSSGD	Argentine Peso / Singapore Dollar
ARSUSD	Argentine Peso / US Dollar
AUDARS	Australian Dollar / Argentine Peso
AUDBRL	Australian Dollar / Brazilian Real
AUDCAD	Australian Dollar / Canadian Dollar
AUDCHF	Australian Dollar / Swiss Franc
AUDCNY	Australian Dollar / Yuan Renminbi
AUDCZK	Australian Dollar / Czech Koruna
AUDDKK	Australian Dollar / Danish Krone
AUDEUR	Australian Dollar / Euro Dollar
AUDFJD	Australian Dollar / Fiji Dollar
AUDGBP	Australian Dollar / Pound Sterling
AUDHKD	Australian Dollar / Hong Kong Dollar
AUDHUF	Australian Dollar / Hungarian Forint
AUDIDR	Australian Dollar / Indian Rupiah
AUDILS	Australian Dollar / New Israeli Sheqel
AUDINR	Australian Dollar / Indian Rupee
AUDJPY	Australian Dollar / Japanese Yen
AUDKRW	Australian Dollar / Korean Won
AUDMXN	Australian Dollar / Mexican Peso
AUDMYR	Australian Dollar / Malaysian Ringgit
AUDNOK	Australian Dollar / Norwegian Krone
AUDNZD	Australian Dollar / New Zealand Dollar
AUDPKR	Australian Dollar / Pakistan Rupee
AUDPLN	Australian Dollar / Polish Zloty
AUDSEK	Australian Dollar / Swedish Krona
AUDSGD	Australian Dollar / Singapore Dollar
AUDTHB	Australian Dollar / Thai Baht
AUDTWD	Australian Dollar / New Taiwan Dollar
AUDUSD	Australian Dollar / US Dollar
AUDZAR	Australian Dollar / South African Rand
BDTGBP	Taka / Pound Sterling
BDTJPY	Taka / Japanese Yen
BGNCNY	Bulgarian Lev / Yuan Renminbi
BGNDKK	Bulgarian Lev / Danish Krone
