Symbol	Description
ADLI.OB	Amer Medical Tech
ADLS.OB	Advanced Life Scienc
ADMD.OB	Advanced Medical Iso
ADMH.OB	Admiralty Holding Co
ADMNF.OB	Andina Minerals Inc
ADMP.OB	Adamis Pharmaceuticl
ADMT.OB	Adm Tronics Unlimited Inc.
ADMZ.OB	Adtomize Inc
ADNLF.OB	Aberdeen Intl Inc
ADNT.OB	Ardnet Mines Ltd
ADNW.OB	Auto Data Network Inc
ADNY.OB	Adino Energy Corp
ADOOY.OB	Adaro Energy
ADOT.OB	Advanced Optic Elec
ADOV.OB	Andover Medical Inc
ADPAJ.OB	Adelphia Recovery Tr
ADPAN.OB	Adelphia Recov Tr
ADPAO.OB	Adelphia Cvv S Acc4
ADPAR.OB	Adelphia Recov Tr
ADPAS.OB	Adelphia Recovery Tr
ADPC.OB	Allied Products Corp
ADPMF.OB	Ad Pepper Media Intl
ADPT.OB	Adpt Corporation
ADRGF.OB	Amador Gold Corp
ADRS.OB	Adrian Steel Co
ADRZF.OB	Andritz Ag Graz
ADRZY.OB	Andritz Ag Unsp Adr
ADST.OB	Adstar Inc
ADSU.OB	Aden Solutions Inc.
ADSV.OB	Allied Security Inno
ADSYQ.OB	Ad Sys Comm Inc.
ADTR.OB	Alliance Distributors Holding Inc.
ADTTF.OB	Advisors Dis Tr 209 Greater Asia
ADTY.OB	Adtegrity.Com Intl I
ADUEF.OB	Amadeus Energy Limited
ADVA.OB	Advatech Cp
ADVBQ.OB	Advanta Corp.
ADVC.OB	Advant-E Corporation
ADVNQ.OB	Advanta  Corp Cl A
ADVOF.OB	Adva Optical Ntwkng
ADVR.OB	Advanced Viral Resrh
ADWPF.OB	Andrew Peller Ltd Cl
ADWT.OB	Auto Underwriters
ADXDF.OB	Adex Mining Corp
ADXM.OB	Adex Media Inc
ADXRF.OB	Audax Resources
ADXS.OB	Advaxis Inc
ADYE.OB	Aradyme Corp
AEBF.OB	Ae Biofuels Inc
AEBZY.OB	Anadolu Efes Birck
AECS.OB	Aec Holdings Corp.
AEDOF.OB	Aed Oil Ltd
AEEI.OB	American Environment
AEFI.OB	Sienna Resources Inc
AEGG.OB	American Energy New
AEGMF.OB	Alliance Gold Mines
AEGOF.OB	Aegon Nv Ord Shs
AEGP.OB	American Eagle Group
AEGSF.OB	Aegis Group Plc Ord
AEGXF.OB	Aecon Group Inc
AEGY.OB	Alternative Energy
AEHI.OB	Alternate Energy Hld
AELEF.OB	Alpine Electronics I
AELGF.OB	Aer Longus Group
AEMAF.OB	Alchemia Ltd
AEMC.OB	Archer Entertainment
AEMD.OB	Aethlon Medical Inc
AEMI.OB	Access To Money Inc.
AEMZF.OB	Agnico-Eagle Mns Wt
AENC.OB	August Energy Corp
AEND.OB	American Enterpr Dev
AENG.OB	Advanced Engine Tech
AENP.OB	American Energy Prod
AENS.OB	Alternative Energy Sources Inc.
AENY.OB	Americas Energy Co
AEOH.OB	Aeon Holdings Inc
AEOJF.OB	Aeon Credit Svc [Jpn
AEORF.OB	Aleo Solar
AEPLF.OB	Anglo Eastern Planta
AERN.OB	Aer Energy Resources
AERO.OB	Aerogrow Intl Inc
AERP.OB	Aero Perf Prod Inc
AERS.OB	Aerius Cmn Stk
AERT.OB	Advanced Enviro A
AESAY.OB	Aes Tiete Sa Sp Adr
AESO.OB	Atlantic Energy Sol
AESYY.OB	Aes Tiete Sa
AETR.OB	Alliance Enterprise
AETUF.OB	Arc Energy Trust Uni
AEXFF.OB	Aminex Plc Ord
AEXP.OB	American Exploration
AEYIF.OB	Arsenal Energy New
AEYYF.OB	Alinta Energy Group
AFAP.OB	Afa Protective Syste
AFBG.OB	American Fiber Green Products Inc.
AFCMF.OB	Afri-Can Marine Mine
AFCRF.OB	Africo Res Ltd
AFDVF.OB	Afi Development
AFFIQ.OB	Affinity Tech Grou
AFFW.OB	Affinity Mediaworks Corp.
AFGVF.OB	Agfa Gevaert Nv [Bel
AFIVY.OB	Africa Israel Adr
AFLB.OB	A5 Laboratories Inc.
AFLO.OB	Auction Floor New
AFLYY.OB	Air France Ads
AFMCF.OB	African Metal Corp
AFMJF.OB	Alphamin Resources Corp.
AFML.OB	Aerofoam Metals Inc
AFNG.OB	Anchor Funding Svcs
AFNLQ.OB	Amtrust Financial Co
AFPW.OB	Alumifuel Pwr Corp.
AFQMF.OB	African Qn Mines Ord
AFRAF.OB	Air France Klm
AFRIF.OB	African Aura
AFRNF.OB	Afren Plc London
AFRVF.OB	African Bnk Invmt
AFRVY.OB	African Bank Inv Adr
AFSE.OB	All Fuels & Energy C
AFSLF.OB	AMIAD FILTRATION SYS
AFTC.OB	Alternative Fuel Tec
AFXSF.OB	Afexa Life Sciences
AFYG.OB	Affinity Gold Corp
AGATQ.OB	US Aggregates Inc
AGCBF.OB	Amarillo Gold Corpor
AGCCF.OB	Augen Capital Corp
AGCI.OB	Angelciti Entertmnt
AGCR.OB	Agiss Corporation
AGCZ.OB	Andes Gold Corp.
AGDO.OB	American Gold Res Co
AGDY.OB	Agri-Dynamics Inc
AGEEF.OB	Apogee Minerals Ltd
AGEL.OB	Angel Acquisition Cp
AGESF.OB	Ageas Sa/Nv
AGESY.OB	Ageas Adr
AGFL.OB	American Goldfields
AGFMF.OB	Agf Management Limited
AGFRF.OB	Afg Master Ltd
AGGFF.OB	African Gold Group I
AGGI.OB	Allied Energy Inc.
AGGX.OB	Angiogenex Inc
AGGZF.OB	Ag Growth Inc Fd
AGHD.OB	Augrid Global Holdin
AGHI.OB	Agora Holdings Inc
AGIGF.OB	Alamos Gold Inc
AGIJ.OB	Axia Group Inc New
AGLAF.OB	Aguila American Res
AGLSF.OB	Anglesey Mining Plc
AGLT.OB	Angel Telecom Corpor
AGLV.OB	Actis Global Venture
AGMB.OB	Along Mobile Technologies Inc
AGMHF.OB	Agrimarine Holdings
AGMIF.OB	Aldridge Minerals In
AGMS.OB	Angstrom Microsystem
AGNLF.OB	Atlantic Gold Nl
AGNM.OB	Acrongenomics Inc
AGNT.OB	Argonaut Tech Inc
AGOE.OB	Amerigo Energy Inc
AGONF.OB	Adventure Gold Inc.
AGOUF.OB	Assured Guaranty Ltd.
AGPDY.OB	Amer Sports Cp Sp Ad
AGPPF.OB	Anglo Plati Ord Shs
AGPPY.OB	Anglo Plat Unsp Adr
AGRPY.OB	Absa Group Ltd New A
AGRS.OB	Agristar Inc
AGRT.OB	Agr Tools Inc.
AGRZF.OB	Agritec Systems Inc
AGSC.OB	Angus Energy Corp
AGSI.OB	Aegis Assessments
AGSO.OB	Agrisolar Solutions
AGTAF.OB	Agriterra Ltd
AGTI.OB	Alternative Green
AGTT.OB	Angstrom Technologies Inc
AGUNF.OB	Arctic Glacier Tr Ut
AGWS.OB	Advanced Growing Sys
AGXKF.OB	Anglo Asian Mining P
AGXM.OB	Argentex Mining Corp
AGXXF.OB	All Grain Traders
AGYMF.OB	Argosy Minerl Cda
AGYP.OB	Allied Energy Corp
AGYTF.OB	Allergy Therapeutics Plc
AHAG.OB	Alpha Techs Grp Inc
AHBIF.OB	Anheuser-Busch Inbev
AHBRF.OB	Alhambra Res Ltd
AHBY.OB	Ashby Corp Ltd
AHCHF.OB	Anhui Conch Cement C
AHCHY.OB	Anhui Conch Cem Adr
AHCKF.OB	Ams Homecare Inc
AHEXF.OB	Adecco Sa Cheserex
AHEXY.OB	Adecco Sa Unsp Adr
AHFCF.OB	Aston Hill Financial
AHFI.OB	Absolute Hlth & Ftns
AHFP.OB	American Home Food Products Inc.
AHHAP.OB	Accredited Mortgage
AHKSY.OB	Asahi Kaisai Cp Adr
AHMIQ.OB	Amer Home Mtg Invt
AHMMQ.OB	American Home Mtg Pf
AHMNQ.OB	American Home Mortgage I
AHMS.OB	Amer Homestar Ser C
AHNA.OB	Atc Healthcare Cl A
AHNMF.OB	Archon Minerals Ltd
AHNR.OB	Athena Silver Corp
AHODF.OB	Koninklijke Ahold Nv
AHONY.OB	Koninklijke Ahold
AHRO.OB	Atheronova Inc
AIAGF.OB	Aurubis Ag
AIBEF.OB	AIR BERLIN PLC LONDO
AIBIF.OB	Abitibi Mining Cp
AIBSF.OB	Allied Irish Banks O
AICAF.OB	Air China Ltd
AICIQ.OB	Acceptance Ins Co
AICPQ.OB	Aici Cap Tr 9% Pfd
AIDA.OB	Aida Pharmaceuticals
AIDEF.OB	Air Canada
AIDIF.OB	Air Canada Inc
AIDO.OB	Advanced Id Corp
AIERF.OB	Asian Mineral Res
AIFLY.OB	Aiful Corp Unsp Adr
AIGOF.OB	Allied Gold Ltd
AIIFF.OB	Armtec Infrastructur
AILFQ.OB	American Insulock
AILLI.OB	Central Ill Pub 5.16
AILLL.OB	Central Illinois Public Service Company
AILLM.OB	Central Ill Pub 4.92
AILLN.OB	Central Ill Pub 4
AILLO.OB	Ameren Ill Pub 4.25
AILLP.OB	Ameren Ill Co
AILQF.OB	Airlq Inc
AIME.OB	American Interactive
AIMH.OB	Aimrite Holdings Cor
AIMM.OB	Autoimmune Inc
AINWF.OB	Asia Now Res Corp
AIOAF.OB	Antisoma Plc
AIQUY.OB	L'Air Liquide Adr
AIRI.OB	Air Industries Group Inc.
AIRO.OB	Airspan Networks I
AIRRF.OB	Aurion Res Ltd
AIRYY.OB	Air China Ltd Sp Adr
AISCF.OB	Armistice Res Corp
AITG.OB	Air Transport Group
AITVF.OB	Asian Television Net
AITX.OB	Airtrax Inc
AIVAF.OB	Aviva Plc
AIVN.OB	American International Ventures Inc.
AJGH.OB	Amer Jianye Greentec
AJINY.OB	Ajinomoto Co Inc Adr
AJMPF.OB	ASHMORE GROUP PLC
AJSB.OB	Ajs Bancorp Inc [Il]
AJVE.OB	A&J Venture Capital
AKAVF.OB	Aka Ventures Inc
AKBKF.OB	Akita Bank Ltd
AKBS.OB	Akers Biosciences
AKBTY.OB	Akbank Turk Ano Adr
AKDS.OB	Arkados Group Inc
AKESQ.OB	Akesis Pharmaceuticl
AKKVF.OB	Aker Kvaerner Ogep
AKLPF.OB	Akela Pharma Inc.
AKMN.OB	Askmenow Inc
AKPB.OB	Alaska Pac Bancshs
AKRK.OB	Asia Cork Inc
AKSJF.OB	Ak Sberegatelny Bank
AKSY.OB	Aksys Ltd.
AKTAF.OB	Akita Drilling Ltd N
AKVA.OB	Arkanova Energy Corp
AKYI.OB	Accesskey Ip Inc.
AKZOF.OB	Akzo Nobel Nv
AKZOY.OB	Akzo Nobel Nv Adr #
ALALF.OB	Alcatel Lucent S.A.
ALAWP.OB	Alabama Pwr Pref
ALBCF.OB	Alibaba.Com Limited
ALBIY.OB	Alibaba Com Ltd
ALBKY.OB	The Alpha Bank A.E.
ALBMP.OB	Alabama Pwr Pfd
ALBPP.OB	Alabama Power Co
ALBY.OB	Community Cap Bcshs
ALCD.OB	Alco Advanced Techno
ALCN.OB	Atlantic Central Ent
ALCYF.OB	Alcyone Res
ALDA.OB	Aldila Inc
ALDFF.OB	Alderon Resource Cp
ALEV.OB	Alpha Lujo Inc
ALFE.OB	American Life Hld Co
ALFFF.OB	Alfa S.A.B. De C.V.
ALFVY.OB	Alfa-Laval Ab Adr
ALGF.OB	Algae Farm Usa Inc
ALGI.OB	Amer Locker Group
ALGLF.OB	Alpha Gold Corp
ALIAF.OB	Anatolia Minerals De
ALIF.OB	Artificial Life Inc
ALIOF.OB	Actelion Ltd
ALITF.OB	Alliance Trust Co Lt
ALIZF.OB	Allianz Ag
ALJJ.OB	Alj Regional Hldgs
ALKEF.OB	Alkane Exploration N
ALKHF.OB	Alaska Hydro Corp
ALKN.OB	Alkane Inc.
ALLAY.OB	All America Latina Logistica S.A.
ALLN.OB	Allin Corporation
ALLP.OB	Alliance Pharma Cp
ALLQ.OB	All Q Tell Corp
ALLRF.OB	Allana Potash
ALLZF.OB	West Siberian Res
ALME.OB	Alamo Energy Corp
ALMFF.OB	Altium FX Ltd
ALMMF.OB	Alum Corp China H Sh
ALMY.OB	Alchemy Creative Inc
ALNGF.OB	Alange Energy Corp
ALNPY.OB	All Nippon Airways C
ALNS.OB	Alentus Corporation
ALOD.OB	Allied Resources Inc
ALPE.OB	Alpha-En Corp
ALPMF.OB	Astellas Pharma Inc
ALPMY.OB	Astellas Pharma Inc
ALPVN.OB	Alabama Pwr 4.60 Pd
ALQA.OB	Alliqua Inc
