Symbol	Description
DAF11	Class III Milk (P) {Jan 11}
DAF12	Class III Milk (P) {Jan 12}
DAG11	Class III Milk (P) {Feb 11}
DAG12	Class III Milk (P) {Feb 12}
DAH11	Class III Milk (P) {Mar 11}
DAH12	Class III Milk (P) {Mar 12}
DAJ11	Class III Milk (P) {Apr 11}
DAJ12	Class III Milk (P) {Apr 12}
DAK11	Class III Milk (P) {May 11}
DAK12	Class III Milk (P) {May 12}
DAM11	Class III Milk (P) {Jun 11}
DAM12	Class III Milk (P) {Jun 12}
DAN11	Class III Milk (P) {Jul 11}
DAN12	Class III Milk (P) {Jul 12}
DAQ11	Class III Milk (P) {Aug 11}
DAQ12	Class III Milk (P) {Aug 12}
DAU11	Class III Milk (P) {Sep 11}
DAU12	Class III Milk (P) {Sep 12}
DAV11	Class III Milk (P) {Oct 11}
DAV12	Class III Milk (P) {Oct 12}
DAX11	Class III Milk (P) {Nov 11}
DAX12	Class III Milk (P) {Nov 12}
DAZ11	Class III Milk (P) {Dec 11}
DB	Butter
DF.C	Nonfat Dry Milk Continuation
DFF11	Nonfat Dry Milk {Jan 11}
DFF12	Nonfat Dry Milk {Jan 12}
DFG11	Nonfat Dry Milk {Feb 11}
DFG12	Nonfat Dry Milk {Feb 12}
DFH11	Nonfat Dry Milk {Mar 11}
DFH12	Nonfat Dry Milk {Mar 12}
DFJ11	Nonfat Dry Milk {Apr 11}
DFJ12	Nonfat Dry Milk {Apr 12}
DFK11	Nonfat Dry Milk {May 11}
DFK12	Nonfat Dry Milk {May 12}
DFM11	Nonfat Dry Milk {Jun 11}
DFM12	Nonfat Dry Milk {Jun 12}
DFN11	Nonfat Dry Milk {Jul 11}
DFN12	Nonfat Dry Milk {Jul 12}
DFQ11	Nonfat Dry Milk {Aug 11}
DFQ12	Nonfat Dry Milk {Aug 12}
DFU11	Nonfat Dry Milk {Sep 11}
DFU12	Nonfat Dry Milk {Sep 12}
DFV11	Nonfat Dry Milk {Oct 11}
DFV12	Nonfat Dry Milk {Oct 12}
DFX11	Nonfat Dry Milk {Nov 11}
DFX12	Nonfat Dry Milk {Nov 12}
DFZ11	Nonfat Dry Milk {Dec 11}
DG.C	Dry Whey Continuation
DGF11	Dry Whey {Jan 11}
DGF12	Dry Whey {Jan 12}
DGG11	Dry Whey {Feb 11}
DGG12	Dry Whey {Feb 12}
DGH11	Dry Whey {Mar 11}
DGH12	Dry Whey {Mar 12}
DGJ11	Dry Whey {Apr 11}
DGJ12	Dry Whey {Apr 12}
DGK11	Dry Whey {May 11}
DGK12	Dry Whey {May 12}
DGM11	Dry Whey {Jun 11}
DGM12	Dry Whey {Jun 12}
DGN11	Dry Whey {Jul 11}
DGN12	Dry Whey {Jul 12}
DGQ11	Dry Whey {Aug 11}
DGQ12	Dry Whey {Aug 12}
DGU11	Dry Whey {Sep 11}
DGU12	Dry Whey {Sep 12}
DGV11	Dry Whey {Oct 11}
DGV12	Dry Whey {Oct 12}
DGX11	Dry Whey {Nov 11}
DGX12	Dry Whey {Nov 12}
DGZ11	Dry Whey {Dec 11}
DK	Class IV Milk
DK.C	Class IV Milk Continuation
DKF11	Class IV Milk {Jan 11}
DKF12	Class IV Milk {Jan 12}
DKG11	Class IV Milk {Feb 11}
DKG12	Class IV Milk {Feb 12}
DKH11	Class IV Milk {Mar 11}
DKH12	Class IV Milk {Mar 12}
DKJ11	Class IV Milk {Apr 11}
DKJ12	Class IV Milk {Apr 12}
DKK11	Class IV Milk {May 11}
DKK12	Class IV Milk {May 12}
DKM11	Class IV Milk {Jun 11}
DKM12	Class IV Milk {Jun 12}
DKN11	Class IV Milk {Jul 11}
DKN12	Class IV Milk {Jul 12}
DKQ11	Class IV Milk {Aug 11}
DKQ12	Class IV Milk {Aug 12}
DKU11	Class IV Milk {Sep 11}
DKU12	Class IV Milk {Sep 12}
DKV11	Class IV Milk {Oct 11}
DKV12	Class IV Milk {Oct 12}
DKX11	Class IV Milk {Nov 11}
DKX12	Class IV Milk {Nov 12}
DKZ11	Class IV Milk {Dec 11}
DL.C	Class III Milk Continuation
DLF11	Class III Milk {Jan 11}
DLF12	Class III Milk {Jan 12}
DLG11	Class III Milk {Feb 11}
DLG12	Class III Milk {Feb 12}
DLH11	Class III Milk {Mar 11}
DLH12	Class III Milk {Mar 12}
DLJ11	Class III Milk {Apr 11}
DLJ12	Class III Milk {Apr 12}
DLK11	Class III Milk {May 11}
DLK12	Class III Milk {May 12}
DLM11	Class III Milk {Jun 11}
DLM12	Class III Milk {Jun 12}
DLN11	Class III Milk {Jul 11}
DLN12	Class III Milk {Jul 12}
DLQ11	Class III Milk {Aug 11}
DLQ12	Class III Milk {Aug 12}
DLU11	Class III Milk {Sep 11}
DLU12	Class III Milk {Sep 12}
DLV11	Class III Milk {Oct 11}
DLV12	Class III Milk {Oct 12}
DLX11	Class III Milk {Nov 11}
DLX12	Class III Milk {Nov 12}
DLZ11	Class III Milk {Dec 11}
E4	Turkish Lira
E4.C	Turkish Lira Continuation
E4H11	Turkish Lira {Mar 11}
E4H12	Turkish Lira {Mar 12}
E4M11	Turkish Lira {Jun 11}
E4U11	Turkish Lira {Sep 11}
E4Z11	Turkish Lira {Dec 11}
E5	Euro/Turkish Lira
E5.C	Euro/Turkish Lira Continuation
E5H11	Euro/Turkish Lira {Mar 11}
E5H12	Euro/Turkish Lira {Mar 12}
E5M11	Euro/Turkish Lira {Jun 11}
E5U11	Euro/Turkish Lira {Sep 11}
E5Z11	Euro/Turkish Lira {Dec 11}
E6	Euro FX
E6.C	Euro FX Continuation
E6H11	Euro FX {Mar 11}
E6H12	Euro FX {Mar 12}
E6M11	Euro FX {Jun 11}
E6M12	Euro FX {Jun 12}
E6U11	Euro FX {Sep 11}
E6Z11	Euro FX {Dec 11}
E7	E-Mini Euro FX
E7.C	E-Mini Euro FX Continuation
E7H11	E-Mini Euro FX {Mar 11}
EA	E-Mini MSCI EAFE
EA.C	E-Mini MSCI EAFE Continuation
EAH11	E-Mini MSCI EAFE {Mar 11}
EAM11	E-Mini MSCI EAFE {Jun 11}
EB.C	E-Mini Eurodollar Continuation
EBG11	E-Mini Eurodollar {Feb 11}
EBH09	E-Mini Eurodollar {Mar 09}
EBH10	E-Mini Eurodollar {Mar 10}
EBH11	E-Mini Eurodollar {Mar 11}
EBH12	E-Mini Eurodollar {Mar 12}
EBH13	E-Mini Eurodollar {Mar 13}
EBH14	E-Mini Eurodollar {Mar 14}
EBH15	E-Mini Eurodollar {Mar 15}
EBH16	E-Mini Eurodollar {Mar 16}
EBH17	E-Mini Eurodollar {Mar 17}
EBH18	E-Mini Eurodollar {Mar 18}
EBH19	E-Mini Eurodollar {Mar 19}
EBH20	E-Mini Eurodollar {Mar 20}
EBJ11	E-Mini Eurodollar {Apr 11}
EBK11	E-Mini Eurodollar {May 11}
EBM09	E-Mini Eurodollar {Jun 09}
EBM10	E-Mini Eurodollar {Jun 10}
EBM11	E-Mini Eurodollar {Jun 11}
EBM12	E-Mini Eurodollar {Jun 12}
EBM13	E-Mini Eurodollar {Jun 13}
EBM14	E-Mini Eurodollar {Jun 14}
