Symbol	Description
AUV.V	Augyva Inc. [Ressources Miniere
AUX.V	Auramex Resource Corp
AVC.V	American Vanadium Corpc Com
AVG.V	Avatar Energy Ltd
AVI.V	Advitech Inc.
AVS.H.V	Ava Resources Corp
AVT.V	Avanti M
AVU.V	Avrupa Minerals Ltd.
AVW.H.V	Avc Venture Capital Corp Com Np-
AVX.V	Altair Ventures Incorporated
AVZ.V	Avala Res Ltd
AWA.V	Arrowhead Water Products Ltd
AWI.V	Advent Wireless Inc
AXD.V	Alexander Mining Plc Ord
AXE.V	Acceleware Corp
AXI.V	Advanced Explorations Inc.
AXM.V	Axmin Inc.
AXP.V	Accelrate Pwr Sys Inc
AYA.V	Amaya Gaming Group Inc.
AZA.V	Argenta Oil & Gas Inc
AZG.V	Azteca Gold Corp.
AZI.V	Aztech Innovations Inc
AZM.V	Azimut Exploration Inc
AZN.V	Arcturus Ventures Inc.
AZU.V	Azure Resources Corporation
AZX.V	Alexandria Minerals Corporation
AZZ.V	Azcar Tech Inc
B.V	Bcm Resources Corporation
BAL.H.V	Balto Resources Ltd
BAP.V	Beacon Acquisition Partners Inc
BAR.V	Balmoral Res Ltd
BAT.V	Batero Gold Corp.
BBB.V	Brixton Metals Corp
BBC.PR..V	BLACK BIRCH CAPITAL ACQUISITION
BBI.V	Blackbird Energy Inc
BBM.V	Brandenburg Metals Corp
BBS.V	Black Bull Resources Inc.
BCG.V	Bcgold Corp
BCM.V	Bear Creek Mining Corporation
BCN.V	Bacanora Minerals Ltd
BCO.V	British Control Oil Fields Limi
BCS.V	Brea Resources Corp.
BCU.V	Bell Copper Corporation
BCY.V	Bcy Resources Inc.
BEA.V	Belmont Resources Inc
BEG.PR..V	Beanstalk Capital Inc
BEL.V	Belvedere Resources Ltd.
BER.V	Be Resources Inc
BEY.V	Blacksteel Energy Inc.
BFD.V	Beaufield Resources Inc. [Resso
BFS.V	Bfs Entertainment Multimedia Lt
BGC.V	Brazilian Gold Corp
BGE.V	Bison Gold Resources Inc
BGL.V	Bandera Gold Ltd.
BGM.V	Barkerville Gold Mines Ltd
BGS.V	Baroyeca Gold And Silver Inc
BHV.V	Bellhaven Copper & Gold Inc
BIO.V	Biosign Tech Inc
BIT.V	Black Isle Resources Corporatio
BKM.V	Pacific Booker Minerals Inc.
BKR.V	Berkwood Resources Ltd
BKT.V	Brookemont Capital Inc
BLF.V	Capital Blf Inc
BLG.V	Bear Lake Gold Ltd
BLK.V	Birch Lake Energy Inc
BLL.H.V	Ballyliffin Capital Corp
BLN.V	Blackline Gps Corp
BLP.V	Bluepoint Data Storage Inc.
BLR.V	Blackhawk Resource Corp
BLT.V	Brilliant Mining Corp
BLV.V	Blackstone Ventures Inc.
BMC.V	Buchans Minerals Corporation
BMK.V	Macdonald Mines Exploration Ltd
BML.V	Barker Minerals Ltd
BMN.A.V	Beaumont Select Corporation
BMW.V	Beijing Marvel Cleansing Sup
BMX.A.V	Bellamont Exploration Ltd Cl A
BMX.B.V	Bellamont Exploration Ltd Cl B
BNB.V	Bam Investments Corp
BNR.V	Brionor Resources Inc
BNT.V	Blue Note Mining
BNX.A.V	Bnp Resources Inc Cl A
BNX.B.V	Bnp Resources Inc Cl B
BOB.V	Global Hunter Corp.
BOE.V	Americas Petrogas Inc
BOG.V	Base Oil & Gas Ltd
BOL.V	Bold Ventures Inc
BON.V	Bonaparte Cap Corp
BOR.V	Border Petroleum Corp
BOW.V	Bowmore Exploration Ltd.
BPC.V	Black Panther Mining Corp
BPM.V	Bralorne Gold Mines Ltd.
BPU.V	Boss Power Corp.
BRG.V	Brigadier Gold Limited
BRL.V	Bearclaw Capital Corp.
BRM.V	Biorem Inc
BRN.PR.A.V	BROOKFIELD INVESTMENT CORP
BRR.V	Britannica Resources Corp
BRS.V	Bonanza Resources Corporation
BRU.V	Bolero Resources Corp
BRX.V	Brixton Energy Corp
BRY.V	Bri-Chem Corp
BSH.V	Bayshore Pete Corp
BSK.V	Blue Sky Uranium Corp
BSX.V	Belo Sun Mining Corp.
BTB.DB.V	Btb Real Estate Invst Trust
BTB.DB.B.V	Btb Real Estate Investment Trust
BTB.DB.C.V	Btb Real Estate Investment Trust 5.5% Dbsr C 31
BTB.UN.V	Btb Real Est Inv T Unit Trust
BTC.V	Benton Resources Corp.
BTI.V	Bioasis Tech Inc
BTM.H.V	Bitumen Capital Inc.
BTR.V	Bonterra Reso
BTT.V	Bitterroot Resources Ltd.
BTU.PR..V	BTU CAPITAL CORP
BTV.V	Soyers Capital Limited
BTX.V	Biotonix 2010 Inc
BUK.V	Bridge Resources Corp
BVA.V	Bravada Gold Corporation
BVC.PR..V	BROOKLYN VENTURES CORP
BVG.V	Bravo Venture Group Inc
BVO.V	Bevo Agro Inc.
BVR.V	Bolivar Energy Corp
BVT.V	Bonaventure Enterprises Inc
BWD.V	Bowood Energy Inc.
BWN.V	Brownstone Ventures Inc
BXX.V	Boxxer Gold Corp.
BYM.V	Baymount Incorporated
BYN.PR..V	Banyan Coast Capital Corp
BYU.V	Bayswater Uranium Corp
BYV.V	Bayfield Ventures Corp
BZD.V	Brazilian Diamonds Limited [Tie
BZZ.V	Buzz Telecommunications Service
C.V	Celeste Copper Corporation [Tie
CA.V	Caerus Resource Corporation [Ti
CAA.V	Callinan Mines Limited
CAD.V	Colonial Coal International Cp
CAF.V	Canaf Group Inc
CAJ.V	Canasia Industries Corporation
CAN.V	Canaco Resources Inc.
CAU.H.V	China Goldcorp Ltd.
CAY.V	Cache Exploration Inc
CBA.V	Champion Bear Resources Ltd.
CBC.V	Central Resources Corp
CBE.V	Cabo Drilling Corp.
CBI.V	Colibri Resource Corporation
CBJ.V	Cb Gold Inc
CBS.V	Bard Ventures Ltd.
CBT.V	Cobalt Coal Corp
CBV.V	Cobra Venture Corporation
CBX.V	Cortex Business Solutions Inc.
CC.V	Cascade Resources Ltd
CCC.H.V	Chelsea Minerals Corp
CCD.V	Cascadero Copper Corp
CCE.V	Commerce Resources Corp.
CCJ.H.V	Coalcorp Mining Inc
CCR.V	Cascadia Reso
CCV.V	Counterpath Corporation
CCY.V	Catalyst Copper Corp
CD.V	Cantex Mine Development Corp
CDA.V	Canuc Resources Corporation [Ti
CDC.V	Cadillac Ventures Inc
CDE.V	Challenger Deep Cap Corp
CDI.V	Canelson Drilling Inc
CDK.H.V	Cadomin Capital Corp
CDN.V	Canadream Corporation
CDO.V	Candorado Operating Company Ltd
CDQ.V	Challenger Development Corp. [T
CDR.V	Caldera Resources Inc
CDX.V	Cassidy Gold Corp
CE.V	Canada Energy Partners Inc
CEC.V	Compliance Energy Corporation
CED.V	Cedar Mountain Exploration Inc
CEI.PR..V	CARMEN ENERGY INC COM
CEL.V	Columbus Energy Limited
CEM.V	Constantine Metal Resources Ltd
CEN.V	Coastal Energy Company
CEV.V	Cap-Ex Ventures Ltd
CEX.V	Contact Exploration Inc.
CEY.V	Century Energy Ltd
CFF.V	Conifex Timber Inc
CFI.V	Canada Fluorspar Inc
CFL.UN.V	Canadian Equipment Com Npv
CFM.V	Confederation Minerals Ltd
CFO.V	Clifton Star Resources Inc.
CFR.V	Chemaphor Inc
CFY.V	Changfeng Energy Inc
CGD.V	Carlin Gold Corporation
CGE.V	Corex Gold Corporation
CGN.V	Carbon2Green Corp
CGP.V	Cornerstone Capital Resources I
CGT.V	Columbus Gold Corp
CGW.V	Corazon Gold Corp
CH.V	China Select Capital Partners C
CHN.V	China Education Resources Inc.
CHO.V	China Health Labs & Diagnostic
CHU.V	Channel Resources Ltd
CHY.V	Cypress Hills Resource Corp [Ti
CI.V	Metalquest Minerals Inc
CIA.H.V	Colossal Resources Corp
CID.V	Cicada Ventures Ltd.
CIL.V	Canoel International Energy Ltd
CIN.V	Canadian Internatl Minerals In
CIO.V	Central Iron Ore Ltd
CJC.V	Canda Gas Corp
CJO.V	Cerro Resources Nl
CKB.V	Cobre Exploration Corp
CKC.V	Cricket Resources Inc.
CKG.V	Chesapeake Gold Corp.
CKG.WT.V	Chesapeake Gold Corp. Wt 23Feb2
CKK.V	Cordy Oilfield Services Inc.
CKO.V	China Coal Corporation
CKR.V	Yow Capital Corp
CKV.V	Cvc Cayman Ventures Corp
CKX.V	Csm Systems Corp
CLD.V	Cangold Limited
CLH.V	Coral Gold Resources Ltd
CLI.V	Clearford Industries Inc.
CLN.V	Culane Energy Corp.
CLP.V	Calypso Uranium Corp
CLZ.V	Canasil Resources Inc.
CMA.V	Cream Minerals Ltd.
CMB.V	Cmc Metals Ltd
CMD.V	Commander Resources Ltd
CMI.V	C-Com Satellite Systems Inc
CMJ.V	Colombian Mines Corporation
CMM.V	Century Mining Corporation
CMO.V	Cliffmont Resources Ltd.
CMS.V	Creston Moly Corp
CMU.V	Comet Industries Ltd.
CN.V	Condor Resources Inc
CNA.V	Centram Explorations Ltd
CNE.V	C
CNE.DB.V	Canacol Energy Ltd. Debs.
CNG.V	Canadian Mining Company Inc
CNI.V	Continental Nickel Limited
CNO.V	California Nanotechnologies Cor
CNP.V	Cannon Point Resources Ltd
CNS.V	Canoro Resources Ltd.
CNW.V	China Wind Power Intl Corp
CNY.V	Cancana Resources Corp
CO.V	Baltic Resources Inc
COC.V	China Opportunity Inc
COD.V	Chalice Diamond Corp
COE.V	Canam Coal Corp
COF.H.V	Coventree Inc
COG.V	Cumberland Oil And Gas Ltd
COR.V	Camino Minerals Corporation
COT.V	Critical Outcome Technologies I
COU.V	Cougar Minerals Corp Com
COV.V	Covalon Technologies Ltd
CPE.H.V	Capital Pro Egaux Inc
CPK.H.V	Capstock Financial Inc
CPL.V	Champlain Resources Inc
CPO.V	Compass Petroleum Ltd.
CPS.V	Claim Post Resources Inc
CPV.V	Copper Creek Ventures Ltd.
CPY.V	Copper Canyon Resources Ltd
CQ.V	Cooper Minerals Inc.
CQM.V	Canadian Quantum Energy Corpora
CQR.V	Conquest Resources Limited
CQV.V	Canadian Imperial Venture Corp.
CQX.V	Cadillac Mining Corporation
CRB.V	Cariboo Rose Resources Ltd
CRC.V	Crescent Resources Corp.
CRD.V	Coronado Resources Ltd.
CRI.V	Castle Resources Inc.
CRM.V	Crh Medical Corporation
CRN.PR..V	CAMISHA RESOURCES CORP
CRO.V	Canadian Arrow Mines Limited
CRV.V	Cresval Capital Corp.
CRX.V	Cytiva Software Inc.
CSC.V	Columbus Silver Corporation
CSO.V	Corsa Capital Ltd.
CSQ.V	Canamex Resources Corp Com
CST.V	Co2 Solution Inc.
CT.V	Castillian Resources Corp.
CTE.V	Centric Energy Corp
CTG.V	Global Minerals Ltd
CTH.V	Cannasat Therapeutics Inc.
CTM.V	Canterra Minerals Corp
CTN.V	Centurion Minerals Ltd
CTO.V	Circa Enterprises Inc
CTR.V	Coltstar Ventures Inc
CTS.V	Cantronic Systems Inc.
CTW.V	Catch The Wind Ltd
CTX.H.V	VIRTUAL CHINA TRAVEL SERVICES C
CTZ.V	Cencotech Inc.
CUE.V	Cue Resources Ltd
CUI.V	Currie Rose Resources Inc.
CUO.V	Copper One Inc.
CUT.V	Cortez Gold Corp
CUU.V	Copper Fox Metals Inc.
CUV.V	Curis Resources Ltd
CUZ.H.V	Cadman Resources Inc
CV.H.V	Chantrell Ventures Corp.
CVB.V	Compass Gold Corporation
CVN.V	Cavan Ventures Inc
CVR.V	Canadian Oil Recovery & Remedia
CVU.A.V	Seaview Energy Inc Cl A
CVU.B.V	Seaview Energy Inc Cl B
CVV.V	Canalaska Uranium Ltd.
CVX.V	Cordex Ventures Inc
CW.H.V	Carlaw Capital III Corp.
CWC.V	Central Alberta Well Services
CWM.V	C
CWQ.V	Curlew Lake Resources Inc.
CWS.H.V	Consolidated Westview Resource
CWV.V	Crown Point Ventures Ltd
CWY.V	Conway Resources Inc
CXB.V	Calibre Mining Corp
CXD.V	Cadan Resources Corporation [Ti
CXG.A.V	Clemex Technologies Inc. Cl A
CXM.V	Carmax Mining Corp Com
CXO.V	Colorado Resources Ltd Com
CXP.V	Canadian Phoenix Resources Corp
CXT.V	Creso Exploration Inc.
CYD.V	Cayden Resources Inc
CYF.V	Canyon Creek Food Co Ltd
CYG.V	Cygam Energy Inc
CYP.V	Cypress Development Corp.
CYQ.V	Changyu Medtech Ltd
CYR.V	Cirrus Energy Corporation
CYU.V	Columbia Yukon Explorations Inc
CZ.V	Cassius Ventures Ltd.
CZH.V	Crazy Horse Resources Inc.
CZO.V	Ceapro Inc
CZX.V	Canada Zinc Metals Corp
CZY.V	Caza Gold Corp Com
CZY.WT.V	Caza Gold Corp Wts
DAL.V	Dalmac Energy Inc.
DAN.V	D'Arianne Resources Inc
DAP.U.V	Xpel Technologies Corp.
DAU.V	Desert Gold Ventures
DBL.V	Darnley Bay Resources Limited
DBO.A.V	D-Box Technologies Inc.
DBV.PR..V	Doubleview Capital Corp Com Npv
DCA.PR..V	DOCA CAPITAL CORP.
DCY.V	Discovery-Corp Enterprises Inc.
DDN.V	Diamonds North Resources
DDX.V	Dundarave Resources Inc.
DEC.V	Decade Resources Ltd
DEF.V	Defiance Capital Corp.
DEI.V	Donnybrook Energy Inc
DEQ.V	Deq Systems Corp.
DES.V	Desmarais Energy Corp
DEX.V	Detector Exploration Ltd.
DFC.H.V	D Fense Cap Ltd
DHM.V	Deer Horn Metals Inc
DIA.V	Big Red Diamond Corporation [Ti
DIB.V	Dia Bras Exploration Inc.
DIG.H.V	Digger Resources Inc
DIL.V	Digifonica International Inc
DIT.V	Ditem Explorations Inc.
DIV.V	Diversinet Corp
DIX.V	Diamond Exploration Inc
DJI.V	Dajin Resources Corp.
DKC.PR..V	DRAKO CAP CORP
DLA.V	Drift Lake Resources Inc
DLL.V	Deloro Resources Ltd.
DLV.V	Dolly Varden Resources Inc.
DMA.V	Diamedica Inc.
DMI.V	Diamcor Mining Inc
DNI.V	Dumont Nickel Inc.
DNX.V	Dynex Power Inc.
