Symbol	Description
AXL.DB.TO	Anderson Energy Ltd Deb 7.5%
AXR.TO	Alexco Resource Co Com Npv
AXX.TO	Axia Netmedia Corp Com Npv
AYX.TO	Auryx Gold Corp.
AZ.TO	Armistice Resource Com Npv
AZC.TO	Augusta Resource Corp
AZD.TO	Azure Dynamics Cor Com Npv
BA.TO	Bell Aliant Inc
BAA.TO	Banro Corporation Com Npv
BAA.WT.TO	Banro Corp
BAB.UN.TO	Build Amer Inv Grade Bond Fund
BAD.TO	Badger Daylighting Ltd
BAJ.TO	Baja Mining Corp Com Npv
BAM.A.TO	Brookfield Asset Mgmt Inc
BAM.PR.B.TO	Brookfield Asset Management Inc Class A Preference Series 2
BAM.PR.C.TO	Brookfield Asset Management Inc Class A Preference Series 4
BAM.PR.E.TO	Brookfield Asset Management Inc Class A Preference Series 8
BAM.PR.G.TO	Brookfield Asset Management Inc Class A Preference Series 9
BAM.PR.H.TO	Brookfield Asset Management Inc Class A Preference Series 10
BAM.PR.I.TO	Brookfield Asset Management Inc Class A Preference Series 11
BAM.PR.J.TO	Brookfield Asset Management Inc Class A Preference Series 12
BAM.PR.K.TO	Brookfield Asset Management Inc Class A Preference Series 13
BAM.PR.M.TO	BROOKFIELD ASST MGMNT INC
BAM.PR.N.TO	BROOKFIELD ASSET MANAGEMENT
BAM.PR.O.TO	BROOKFIELD ASSET MANAGEMENT INC
BAM.PR.P.TO	BROOKFIELD ASSET MGMT INC
BAM.PR.R.TO	BROOKFIELD ASSET MANAGEMENT INC
BAM.PR.T.TO	Brookfield Asset Management Inc 835% Preferred due June 30 2051
BAN.TO	Bannerman Res Ltd He Co]
BBD.A.TO	Bombardier Inc Class'A'Cnv Com
BBD.B.TO	Bombardier Inc Class'B'S/Vtg Np
BBD.PR.B.TO	Bombardier Inc Pfd B
BBD.PR.C.TO	Bombardier Inc 625% Ser 4 Pfd
BBD.PR.D.TO	Bombardier Inc Series 3 Pfd
BBL.A.TO	Brampton Brick Ltd Cl A Sv
BBO.TO	Big Bank Big Oil Split Corp
BBO.PR.A.TO	BIG BANK BIG OIL SPLIT CORP. P
BCB.TO	Cott Corporation Com Npv
BCD.TO	Diamondcore Ltd
BCE.TO	Bce Inc Com Npv
BCE.PR.A.TO	BCE Inc Series A Pfd A
BCE.PR.B.TO	BCE PR B
BCE.PR.C.TO	BCE Inc Series A C Pfd C
BCE.PR.D.TO	BCE INC
BCE.PR.E.TO	BCE FIRST PFD SERIES AE
BCE.PR.F.TO	BCE FIRST PFD SERIES AF
BCE.PR.G.TO	BCE FIRST PFD SERIES AG
BCE.PR.H.TO	BCE FIRST PFD SERIES AH
BCE.PR.I.TO	BCE FIRST PFD SERIES AI
BCE.PR.R.TO	BCE Inc Pfd R
BCE.PR.S.TO	BCE Inc Pfd S
BCE.PR.T.TO	BCE INC
BCE.PR.Y.TO	BCE Inc Pfd Y
BCE.PR.Z.TO	BCE Inc Pfd Z
BCI.TO	Benvest New Look Income Fd
BDI.TO	Black Diamond Income Fund
BDT.TO	Bird Construction Company Ltd
BE.TO	Brompton Eqt Split Com Npv Clas
BE.PR.A.TO	Brompton Equity Split Cp Pfd A
BEI.UN.TO	Boardwalk R/Est In Trust Units
BEK.B.TO	Becker Milk Co Ltd Cl B Nv Spec
BEV.TO	Bennett Envir Inc Com Npv
BEV.WT.TO	Bennett Environmental Inc Warra
BIG.A.TO	Big 8 Split Inc Com Npv Cls'A'[
BIG.PR.B.TO	BIG 8 SPLIT INC CL B PRF SHS SE
BIG.PR.C.TO	BIG 8 SPLIT INC
BIM.TO	Baffinland Iron Mines Corp
BIM.WT.TO	Baffinland Iron Mi C/Wts 31/01/
BIM.WT.A.TO	Baffinland Iron Wt A
BIN.TO	Iesi Bfc Ltd
BIP.UN.TO	Brookfield Infra Partners L.P.
BIR.TO	Birchcliff Energy Ltd
BK.TO	Canadian Banc Recovery Corp
BK.PR.A.TO	CANADIAN BANC RECOVERY CORP
BKP.TO	C.A. Bancorp Inc Com Npv
BKX.TO	Bnk Petroleum Inc He Co]
BLD.TO	Ballard Power Sys Com Npv
BLS.TO	Boliden Ab Npv [Post Split]
BLU.TO	Bellus Health Inc Com Npv
BLX.TO	Boralex Inc
BLX.DB.TO	Boralex Inc 6.75% Deb
BLZ.TO	Belzberg Technolog Com Npv
BMO.TO	Bk Of Montreal Com Npv
BMO.PR.H.TO	Bank Of Montreal Pfd H
BMO.PR.J.TO	BANK OF MONTREAL PFD SER 13
BMO.PR.K.TO	BANK OF MONTREAL
BMO.PR.L.TO	BANK OF MONTREAL
BMO.PR.M.TO	BANK OF MONTREAL 5YR CL B S16
BMO.PR.N.TO	BANK OF MONTREAL NON-CUM 5Y RT
BMO.PR.O.TO	BANK OF MONTREAL NON CUM 5YR
BMO.PR.P.TO	BANK OF MONTREAL
