Symbol	Description
5KU.SI	Eastern Holdings Ltd
5KX.SI	The Lexicon Group Limited
5LE.SI	Sitra Holdings (intl) Limited
5LU.SI	Rokko Holdings Ltd.
5LY.SI	Marco Polo Marine Ltd.
5MC.SI	Beng Kuang Marine Limited
5MD.SI	Soon Lian Holdings Limited
5ME.SI	Ezion Holdings Limited
5ML.SI	Old Chang Kee Ltd.
5MM.SI	Sky One Holdings Limited
5MQ.SI	Epicentre Holdings Limited
5MS.SI	Memstar Technology Ltd.
5MUW.SI	Vashion Group W130213
5MZ.SI	Kingsmen Creatives Ltd
5NAW.SI	Tee International Ltd W110427
5NDW.SI	Top Global Limited W130612
5NEW.SI	Natural Cool W110701
5NF.SI	Mencast Holdings Ltd.
5NG.SI	Healthway Medical Corp Ltd
5NH.SI	St. James Holdings Limited
5NK.SI	Artivision Technologies Ltd.
5NL.SI	Tritech Group Limited
5NN.SI	Qualitas Medical Group Limited
5NV.SI	Chasen Holdings Limited
5NZW.SI	Infinio Group Limited W111223
5OC.SI	Koyo International Limited
5OF.SI	Westminster Travel Limited
5OI.SI	Japan Foods Holding Ltd.
5OQ.SI	Teho International Inc Ltd.
5OR.SI	Heatec Jietong Holdings Ltd.
5OS.SI	Jlj Holdings Limited
5OT.SI	Singapore Medical Group Ltd
5OU.SI	China Environment Ltd.
5OX.SI	Mary Chia Holdings Limited
5OY.SI	Latitude Tree Intl Group Ltd.
5PC.SI	Goodland Group Limited
5PD.SI	Hengyang Petrochem Log Limited
5PEW.SI	Ntegrator Intl Ltd W121011
5PF.SI	Jason Marine Group Limited
5PI.SI	Plato Capital Limited
5PL.SI	Sbi Offshore Limited
5PO.SI	Hiap Tong Corporation Ltd.
5PP.SI	Hafary Holdings Limited
5PVW.SI	Viking W130118
5QAW.SI	Asia Water Tech Ltd W110818
5QIB.SI	Eunetworks Group Cb130401
5QMW.SI	Tritech Group Limited W130408
5QQW.SI	Chasen Holdings W150506
5QR.SI	Mann Seng Metal Intl Limited
5QSW.SI	Lereno Bio-chem Ltd W150430
5QT.SI	China Enersave Ltd
5QY.SI	Net Pacific Fin Hldgs Ltd
5QZ.SI	Ccm Group Limited
5RA.SI	Asia-pacific Strategic Inv Ltd
5RBW.SI	Asia-pacific Strategic W140516
5RC.SI	Es Group (holdings) Limited
5RE.SI	Smartflex Holdings Ltd
5RF.SI	Friven & Co. Ltd.
5RHW.SI	Net Pacific Fin Hldgs W150721
5RIW.SI	Klw Holdings Ltd W120815
5RJ.SI	Westech Electronics Limited
5RK.SI	Kreuz Holdings Limited
5RTW.SI	Old Chang Kee W130906
5RWW.SI	Top Global Limited W150929
5SC.SI	Oxley Holdings Limited
5SEW.SI	China Titanium Ltd W121114
5SGW.SI	Ntegrator Intl Ltd W131206
5SMW.SI	Pan Asian Water Solns W130111
5SNW.SI	Pollux Properties Ltd. W130330
5SO.SI	Esmart Holdings Limited
5SPR.SI	Goodland Group Limited R
5SQR.SI	Goodland Group Limited R100
5SR.SI	Zhongmin Baihui Retail Grp Ltd
5SS.SI	Harry's Holdings Ltd.
5STW.SI	Infinio Group Limited W130125
5SUW.SI	Esmart Holdings Limitedw160106
5SV.SI	Esmart Holdings Limited 50
5SXW.SI	Goodland Group Limited W160217
5SY.SI	Chew's Group Limited
5SZR.SI	Asia Water Technology Ltd R
5TAR.SI	Asia Water Technology Ltd R500
600.SI	Hyflux Ltd
A01.SI	China Auto Corporation Ltd.
A02.SI	Achieva Limited
A03.SI	Asia Power Corp Ltd
A04.SI	Asl Marine Holdings Ltd
A05.SI	Avjennings Limited
A0G.SI	China Energy Limited
A0P.SI	Macarthurcook Prop Sec Fund
A0W.SI	Lyxor Commodities Crb Fund 10
A10.SI	Aem Holdings Ltd
A13.SI	Allied Technologies Limited
A14.SI	Armstrong Industrial Corp Ltd
A15.SI	Aussino Group Ltd
A16.SI	Allgreen Properties Ltd
A17U.SI	Ascendas Real Estate Inv Trust
A18.SI	Aei Corporation Ltd
A19.SI	Autron Corporation Limited
A23.SI	Auric Pacific Group Limited
A24.SI	Leeden Limited
A26.SI	Afp Properties Limited
A27.SI	Mdr Limited
A30.SI	Aspial Corporation Limited
A31.SI	Addvalue Technologies Ltd
A33.SI	Adroit Innovations Limited
A34.SI	Amara Holdings Ltd
A35.SI	Abf Spore Bond Index Fund Etf
A46.SI	Asia Pacific Breweries Ltd
A48U.SI	Frasers Commercial Trust
A50.SI	Rowsley Ltd.
A52.SI	Annaik Limited
A53.SI	A-sonic Aerospace Limited
