Symbol	Description
LH12	3-Month Sterling {Mar 12}
LH13	3-Month Sterling {Mar 13}
LH14	3-Month Sterling {Mar 14}
LH15	3-Month Sterling {Mar 15}
LH16	3-Month Sterling {Mar 16}
LJ11	3-Month Sterling {Apr 11}
LK11	3-Month Sterling {May 11}
LM11	3-Month Sterling {Jun 11}
LM12	3-Month Sterling {Jun 12}
LM13	3-Month Sterling {Jun 13}
LM14	3-Month Sterling {Jun 14}
LM15	3-Month Sterling {Jun 15}
LM16	3-Month Sterling {Jun 16}
LU11	3-Month Sterling {Sep 11}
LU12	3-Month Sterling {Sep 12}
LU13	3-Month Sterling {Sep 13}
LU14	3-Month Sterling {Sep 14}
LU15	3-Month Sterling {Sep 15}
LU16	3-Month Sterling {Sep 16}
LW.C	Wheat Continuation
LWF12	Wheat {Jan 12}
LWH11	Wheat {Mar 11}
LWH12	Wheat {Mar 12}
LWK11	Wheat {May 11}
LWK12	Wheat {May 12}
LWK13	Wheat {May 13}
LWN11	Wheat {Jul 11}
LWN12	Wheat {Jul 12}
LWX11	Wheat {Nov 11}
LWX12	Wheat {Nov 12}
LZ11	3-Month Sterling {Dec 11}
LZ12	3-Month Sterling {Dec 12}
LZ13	3-Month Sterling {Dec 13}
LZ14	3-Month Sterling {Dec 14}
LZ15	3-Month Sterling {Dec 15}
LZ16	3-Month Sterling {Dec 16}
MA	MSCI Pan_Euro Index
MA.C	MSCI Pan_Euro Index Continuation
MAH11	MSCI Pan_Euro Index {Mar 11}
MAM11	MSCI Pan_Euro Index {Jun 11}
MC	MSCI Euro Index
QD.C	5-Year Gilt Continuation
QDH11	5-Year Gilt {Mar 11}
QDM11	5-Year Gilt {Jun 11}
QDU11	5-Year Gilt {Sep 11}
QE.C	2-Year Gilt Continuation
QEH11	2-Year Gilt {Mar 11}
QEM11	2-Year Gilt {Jun 11}
QEU11	2-Year Gilt {Sep 11}
QF.C	LIFFE Topix Index Continuation
QFH11	LIFFE Topix Index {Mar 11}
QFM11	LIFFE Topix Index {Jun 11}
QFU11	LIFFE Topix Index {Sep 11}
QFZ11	LIFFE Topix Index {Dec 11}
RM.C	Robusta Coffee 10-T Continuation
RMF12	Robusta Coffee 10-T {Jan 12}
RMH11	Robusta Coffee 10-T {Mar 11}
RMH12	Robusta Coffee 10-T {Mar 12}
RMK11	Robusta Coffee 10-T {May 11}
RMK12	Robusta Coffee 10-T {May 12}
RMN11	Robusta Coffee 10-T {Jul 11}
RMN12	Robusta Coffee 10-T {Jul 12}
RMU11	Robusta Coffee 10-T {Sep 11}
RMU12	Robusta Coffee 10-T {Sep 12}
RMX11	Robusta Coffee 10-T {Nov 11}
SW.C	No. 5 White Sugar Continuation
SWH11	No. 5 White Sugar {Mar 11}
SWH12	No. 5 White Sugar {Mar 12}
SWK11	No. 5 White Sugar {May 11}
SWK12	No. 5 White Sugar {May 12}
SWQ11	No. 5 White Sugar {Aug 11}
SWQ12	No. 5 White Sugar {Aug 12}
SWV11	No. 5 White Sugar {Oct 11}
SWV12	No. 5 White Sugar {Oct 12}
SWZ11	No. 5 White Sugar {Dec 11}
VF.C	5-Yr Euro Swapnote Continuation
VFH11	5-Yr Euro Swapnote {Mar 11}
VFM11	5-Yr Euro Swapnote {Jun 11}
VT.C	10-Yr Euro Swapnote Continuation
VTH11	10-Yr Euro Swapnote {Mar 11}
VTM11	10-Yr Euro Swapnote {Jun 11}
VW.C	2-Yr Euro Swapnote Continuation
VWH11	2-Yr Euro Swapnote {Mar 11}
VWM11	2-Yr Euro Swapnote {Jun 11}
VX.C	2-Yr Dollar Swapnote Continuation
VXH11	2-Yr Dollar Swapnote {Mar 11}
VXM11	2-Yr Dollar Swapnote {Jun 11}
VY.C	5-Yr Dollar Swapnote Continuation
VYH11	5-Yr Dollar Swapnote {Mar 11}
VYM11	5-Yr Dollar Swapnote {Jun 11}
VZ.C	10Yr Dollar Swapnote Continuation
VZH11	10Yr Dollar Swapnote {Mar 11}
VZM11	10Yr Dollar Swapnote {Jun 11}
X	FTSE 100
X.C	FTSE 100 Continuation
XH11	FTSE 100 {Mar 11}
XM11	FTSE 100 {Jun 11}
XU11	FTSE 100 {Sep 11}
XZ11	FTSE 100 {Dec 11}
Y	FTSE 250
Y.C	FTSE 250 Continuation
YH11	FTSE 250 {Mar 11}
YM11	FTSE 250 {Jun 11}
